State,City,PD,Black People Killed by Police (1/1/2013-12/31/2019),Hispanic People Killed by Police (1/1/2013-12/31/2019),Native American People Killed by Police (1/1/2013-12/31/2019),Asian People Killed by Police (1/1/2013-12/31/2019),Pacific Islanders Killed by Police (1/1/2013-12/31/2019),White People Killed by Police (1/1/2013-12/31/2019),Unknown Race People Killed by Police (1/1/2013-12/31/2019),Total,Black,White,Amer. Indian,Asian,Hawaiian,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),"Murder and
nonnegligent manslaughter",Violent crimes 2013 (if reported by agency),Violent crimes 2014 (if reported by agency),Violent crimes 2015 (if reported by agency),Violent crimes 2016 (if reported by agency),Violent crimes 2017 (if reported by agency),Violent crimes 2018 (if reported by agency),2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests
New Mexico,Albuquerque,Albuquerque Police Department,3,18,,,,10,1,"545,852","14,878","229,933","20,627","13,674",418,"1,224","10,043","255,055",28.48,30,4325,4934,5406,6245,7686,7646,27700,25447,22126,20341,21130,22254
California,Anaheim,Anaheim Police Department,3,7,,,,3,,"336,265","8,209","92,362",743,"49,210","1,437",628,"6,209","177,467",27.78,14,1130,1101,1271,1209,1253,1192,7891,8137,8381,9415,8869,10019
Alaska,Anchorage,Anchorage Police Department,1,1,2,,,5,4,"291,826","15,308","182,814","22,047","23,208","5,776",562,"20,050","22,061",34.33,12,2435,2605,3226,3422,3564,3824,17601,14748,14387,13294,13871,13973
Texas,Arlington,Arlington Police Department,7,1,,1,,4,1,"365,438","67,087","164,022","1,338","24,564",373,597,"7,188","100,269",39.74,13,1837,1854,1946,2188,,1784,17258,16222,13989,11024,8397,9566
Georgia,Atlanta,Atlanta Police Department,13,,,,,1,1,"420,003","224,316","152,377",754,"13,098",115,739,"6,789","21,815",74.12,93,5517,5577,5203,5121,4504,3814,30505,26958,,22161,22581,
Colorado,Aurora,Aurora Police Department,8,3,,1,,7,2,"325,078","49,003","153,715","1,487","15,735",919,677,"10,279","93,263",28.72,11,1436,1448,1660,1939,2239,2716,21182,20469,19155,17455,15907,15662
Texas,Austin,Austin Police Department,5,7,,,,19,1,"790,390","60,760","385,271","1,967","49,159",401,"1,448","13,677","277,707",54.14,32,3123,3581,3497,3903,4032,3720,37024,36524,33101,30687,28485,24359
California,Bakersfield,Bakersfield Police Department,3,15,,1,,5,,"347,483","26,677","131,311","2,265","20,496",357,681,"7,491","158,205",43.39,17,1857,1678,1810,1821,1827,1895,16786,20912,21814,21629,16822,13048
Maryland,Baltimore,Baltimore Police Department,27,,,,,3,1,"620,961","392,938","174,120","1,884","14,397",192,942,"10,528","25,960",68.90,211,8725,8346,9542,11010,12430,11100,47560,46232,32939,29661,29044,25567
Louisiana,Baton Rouge,Baton Rouge Police Department,10,,,,,,,"229,493","124,542","86,679",397,"7,469",39,332,"2,382","7,653",66.94,53,2127,2120,2001,2143,2335,2067,,,15244,13322,12829,10773
Alabama,Birmingham,Birmingham Police Department,4,,,,,3,,"212,237","155,258","44,819",361,"2,132",48,150,"1,765","7,704",62.56,52,2852,3369,3707,,,4025,,,,,,
Massachusetts,Boston,Boston Police Department,9,1,,1,,,1,"617,594","138,073","290,312","1,227","54,846",182,"10,078","14,959","107,917",69.17,53,5037,4749,4702,4767,4570,4324,12716,13647,11423,10247,9994,8843
New York,Buffalo,Buffalo Police Department,1,2,,,,,,"261,310","97,637","119,801","1,597","8,313",79,445,"5,919","27,519",65.89,60,3249,3174,2887,2857,2611,2692,14774,12893,12354,10937,10050,10720
Arizona,Chandler,Chandler Police Department,,3,,,,2,,"236,123","10,580","145,724","2,715","19,119",365,369,"5,443","51,808",17.24,1,575,466,490,558,647,606,6257,6105,6256,6151,6660,6538
North Carolina,Charlotte,Charlotte-Mecklenburg Police Department,12,2,,,1,5,1,"731,424","252,007","329,545","2,250","36,115",436,"1,960","13,423","95,688",53.40,47,5093,5054,5948,6560,6304,6482,19087,23669,25305,23740,23632,22021
Virginia,Chesapeake,Chesapeake Police Department,2,,,,,,,"222,209","65,204","134,251",720,"6,289",147,266,"5,626","9,706",41.66,10,737,991,897,969,1006,979,9177,8084,5919,3500,4080,5149
Illinois,Chicago,Chicago Police Department,56,13,,,,2,5,"2,695,598","872,286","854,717","4,097","144,903",557,"4,227","35,949","778,862",82.48,411,25688,24133,24698,30193,29737,27420,112862,100346,84215,61507,57523,78737
California,Chula Vista,Chula Vista Police Department,,1,,,,1,,"243,916","9,972","49,641",600,"33,581","1,105",360,"6,591","142,066",22.05,7,595,612,705,696,808,835,3935,3426,4019,4601,4118,4213
Ohio,Cincinnati,Cincinnati Polce Department,8,1,,,,3,,"296,943","132,307","142,831",549,"5,434",168,721,"6,625","8,308",53.42,60,2826,2695,2761,2720,2833,2535,,,,,6971,6694
Ohio,Cleveland,Cleveland Police Department,8,,,,,1,1,"396,815","208,208","132,710",997,"7,213",70,599,"7,484","39,534",69.02,63,5751,5186,,6299,5999,5576,9245,8519,6441,3883,4417,3834
Colorado,Colorado Springs,Colorado Springs Police Department,2,2,,,,10,1,"416,427","24,391","294,598","2,403","12,206","1,092",768,"14,103","66,866",34.71,20,1893,2039,1983,2301,2479,2617,17106,20316,22020,20489,21462,16670
Ohio,Columbus,Columbus Division of Police,27,,,,,11,2,"787,033","217,694","466,615","1,643","31,734",462,"2,032","22,494","44,359",53.80,83,1022,4563,4631,4500,4478,4416,12745,8663,9942,10092,9412,10954
Texas,Corpus Christi,Corpus Christi Police Department,1,5,,,,1,,"305,215","11,912","101,593",792,"5,398",204,369,"2,766","182,181",40.15,27,1939,2094,2092,2328,2313,2488,16900,17443,19278,19747,16655,16238
Texas,Dallas,Dallas Police Department,15,11,,,,12,2,"1,197,816","294,159","345,205","3,167","33,609",311,"1,824","12,232","507,309",66.13,116,8330,8457,9038,10071,10369,10422,46332,33225,26666,34498,31372,29772
District of Columbia,Washington,DC Metropolitan Police Department,16,,,,,1,2,"601,723","301,053","209,464","1,322","20,818",216,"1,451","12,650","54,749",72.18,31,7880,7810,8084,7711,6584,6613,41630,41186,36219,44175,53028,47147
Colorado,Denver,Denver Police Department,1,12,1,2,,8,7,"600,158","58,388","313,012","3,525","19,925",495,"1,208","12,640","190,965",54.69,298,4087,3983,4599,4597,4774,5262,22343,29752,30118,29993,29372,29520
Michigan,Detroit,Detroit Police Department,7,1,,,,,5,"713,777","586,573","55,604","1,927","7,436",82,994,"12,482","48,679",59.17,21,14504,13616,11846,13705,13796,13478,14737,13383,10849,10883,9701,10734
North Carolina,Durham,Durham Police Department,5,1,,,,1,,"228,330","92,285","86,519",611,"11,478",129,616,"4,233","32,459",47.92,21,,1834,2185,,,,5793,5699,4663,3546,3772,4596
Texas,El Paso,El Paso Police Department,2,7,,,,5,2,"649,121","18,155","92,426","1,633","7,092",737,543,"4,814","523,721",30.84,12,2522,2671,2515,2682,2609,2554,20469,19539,18192,16874,16838,16264
Indiana,Fort Wayne,Fort Wayne Police Department,5,1,,,,3,,"253,691","38,514","178,436",730,"8,279",91,542,"6,899","20,200",54.29,48,949,816,984,1040,952,1024,,5331,5054,5365,5694,5897
Texas,Fort Worth,Fort Worth Police Department,9,5,,,,7,7,"741,206","136,941","309,312","2,481","27,095",615,993,"11,301","252,468",54.99,1,4440,4492,4382,4515,5359,4835,32694,19452,26640,24587,23168,19863
California,Fremont,Fremont Police Department,1,1,,2,,1,2,"214,089","6,743","56,766",458,"107,679","1,064",388,"9,293","31,698",22.04,47,273,284,337,420,431,502,2913,3040,2566,2422,2405,2741
California,Fresno,Fresno Police Department,1,15,,2,,4,1,"494,665","37,885","148,598","3,127","60,939",663,984,"10,414","232,055",42.01,5,2552,2382,2871,3206,2974,2953,30580,32118,25068,19212,19070,22527
Texas,Garland,Garland Police Department,2,1,,1,,3,1,"226,876","32,164","83,259",789,"21,162",65,308,"3,345","85,784",25.05,13,514,644,709,767,748,659,8597,8147,7561,6973,6958,7060
