,State,City,PD,Black People,Hispanic People,Native American People,Asian People,Pacific Islanders,White People,Unknown Race People,Total,Black,White,Amer. Indian,Asian,Hawaiian,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),"Murder and
nonnegligent manslaughter",Violent crimes 2013,Violent crimes 2014,Violent crimes 2015,Violent crimes 2016,Violent crimes 2017,Violent crimes 2018,2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests
0,New Mexico,Albuquerque,Albuquerque Police Department,3,18,0,0,0,10,1,545852,14878,229933,20627,13674,418,1224,10043,255055,28,30,4325,4934,5406,6245,7686,7646,27700,25447,22126,20341,21130,22254
1,California,Anaheim,Anaheim Police Department,3,7,0,0,0,3,0,336265,8209,92362,743,49210,1437,628,6209,177467,28,14,1130,1101,1271,1209,1253,1192,7891,8137,8381,9415,8869,10019
2,Alaska,Anchorage,Anchorage Police Department,1,1,2,0,0,5,4,291826,15308,182814,22047,23208,5776,562,20050,22061,34,12,2435,2605,3226,3422,3564,3824,17601,14748,14387,13294,13871,13973
3,Texas,Arlington,Arlington Police Department,7,1,0,1,0,4,1,365438,67087,164022,1338,24564,373,597,7188,100269,40,13,1837,1854,1946,2188,0,1784,17258,16222,13989,11024,8397,9566
4,Georgia,Atlanta,Atlanta Police Department,13,0,0,0,0,1,1,420003,224316,152377,754,13098,115,739,6789,21815,74,93,5517,5577,5203,5121,4504,3814,30505,26958,0,22161,22581,0
5,Colorado,Aurora,Aurora Police Department,8,3,0,1,0,7,2,325078,49003,153715,1487,15735,919,677,10279,93263,29,11,1436,1448,1660,1939,2239,2716,21182,20469,19155,17455,15907,15662
6,Texas,Austin,Austin Police Department,5,7,0,0,0,19,1,790390,60760,385271,1967,49159,401,1448,13677,277707,54,32,3123,3581,3497,3903,4032,3720,37024,36524,33101,30687,28485,24359
7,California,Bakersfield,Bakersfield Police Department,3,15,0,1,0,5,0,347483,26677,131311,2265,20496,357,681,7491,158205,43,17,1857,1678,1810,1821,1827,1895,16786,20912,21814,21629,16822,13048
8,Maryland,Baltimore,Baltimore Police Department,27,0,0,0,0,3,1,620961,392938,174120,1884,14397,192,942,10528,25960,69,211,8725,8346,9542,11010,12430,11100,47560,46232,32939,29661,29044,25567
9,Louisiana,Baton Rouge,Baton Rouge Police Department,10,0,0,0,0,0,0,229493,124542,86679,397,7469,39,332,2382,7653,67,53,2127,2120,2001,2143,2335,2067,0,0,15244,13322,12829,10773
10,Alabama,Birmingham,Birmingham Police Department,4,0,0,0,0,3,0,212237,155258,44819,361,2132,48,150,1765,7704,63,52,2852,3369,3707,0,0,4025,0,0,0,0,0,0
11,Massachusetts,Boston,Boston Police Department,9,1,0,1,0,0,1,617594,138073,290312,1227,54846,182,10078,14959,107917,69,53,5037,4749,4702,4767,4570,4324,12716,13647,11423,10247,9994,8843
