,Name,Department,EOW,Cause of Death,Date,Year,Canine,Department Name,State
0,Constable Darius Quimby,"Albany County Constable's Office, NY","Monday, January 3, 1791",Gunfire,1791-01-03,1791,False,Albany County Constable's Office, NY
1,Sheriff Cornelius Hogeboom,"Columbia County Sheriff's Office, NY","Saturday, October 22, 1791",Gunfire,1791-10-22,1791,False,Columbia County Sheriff's Office, NY
2,Deputy Sheriff Isaac Smith,"Westchester County Sheriff's Department, NY","Thursday, May 17, 1792",Gunfire,1792-05-17,1792,False,Westchester County Sheriff's Department, NY
3,Marshal Robert Forsyth,"United States Department of Justice - United States Marshals Service, US","Saturday, January 11, 1794",Gunfire,1794-01-11,1794,False,United States Department of Justice - United States Marshals Service, US
4,Sheriff Robert Maxwell,"Greenville County Sheriff's Office, SC","Sunday, November 12, 1797",Gunfire,1797-11-12,1797,False,Greenville County Sheriff's Office, SC
5,High Sheriff John Caldwell Cook,"Mecklenburg County Sheriff's Office, NC","Tuesday, October 16, 1804",Gunfire,1804-10-16,1804,False,Mecklenburg County Sheriff's Office, NC
6,Watchman Christian Luswanger,"New York City Watch, NY","Thursday, December 25, 1806",Stabbed,1806-12-25,1806,False,New York City Watch, NY
7,Deputy Sheriff John A. Gooch,"Livingston County Sheriff's Department, KY","Saturday, March 7, 1807",Gunfire,1807-03-07,1807,False,Livingston County Sheriff's Department, KY
8,Deputy Sheriff Ebenezer Parker,"Cumberland County Sheriff's Office, ME","Monday, January 18, 1808",Assault,1808-01-18,1808,False,Cumberland County Sheriff's Office, ME
9,Night Watchman George Workner,"Baltimore City Police Department, MD","Tuesday, March 15, 1808",Stabbed,1808-03-15,1808,False,Baltimore City Police Department, MD
10,Boatman Asa Marsh,"United States Department of the Treasury - Customs Service, US","Wednesday, August 3, 1808",Gunfire,1808-08-03,1808,False,United States Department of the Treasury - Customs Service, US
11,Boatman Ellis Drake,"United States Department of the Treasury - Customs Service, US","Wednesday, August 3, 1808",Gunfire,1808-08-03,1808,False,United States Department of the Treasury - Customs Service, US
12,Custom House Officer Daniel Miller,"United States Department of the Treasury - Customs Service, US","Monday, January 1, 1810",Gunfire,1810-01-01,1810,False,United States Department of the Treasury - Customs Service, US
13,Deputy Sheriff John Tileston Downes,"Hancock County Sheriff's Department, ME","Monday, January 28, 1811",Gunfire,1811-01-28,1811,False,Hancock County Sheriff's Department, ME
